duration, success rate, q[0], q[1], q[2], q[3], q[4], q[5], q[6],q_c[0], q_c[1], q_c[2], q_c[3], q_c[4], q_c[5], q_c[6],dq_m[0], dq_m[1], dq_m[2], dq_m[3], dq_m[4], dq_m[5], dq_m[6],dq_c[0], dq_c[1], dq_c[2], dq_c[3], dq_c[4], dq_c[5], dq_c[6],tau_m[0], tau_m[1], tau_m[2], tau_m[3], tau_m[4], tau_m[5], tau_m[6],sent commands,q_c[0], q_c[1], q_c[2], q_c[3], q_c[4], q_c[5], q_c[6],toolTobase_pos_c[0], toolTobase_pos_c[1], toolTobase_pos_c[2], toolTobase_pos_c[3], toolTobase_pos_c[4], toolTobase_pos_c[5], toolTobase_pos_c[6], toolTobase_pos_c[7], toolTobase_pos_c[8], toolTobase_pos_c[9], toolTobase_pos_c[10], toolTobase_pos_c[11], toolTobase_pos_c[12], toolTobase_pos_c[13], toolTobase_pos_c[14], toolTobase_pos_c[15],tau_c[0], tau_c[1], tau_c[2], tau_c[3], tau_c[4], tau_c[5], tau_c[6]
720987570897,1,0.0645053,0.58699,-0.000221468,0.99627,-0.0573963,1.63687,0.0611249,0.0645058,0.583214,-0.00022138,0.992505,-0.0574125,1.63692,0.0611692,0,0.01309,-0.00418879,-0.00733038,-0.00785398,-0.0798488,0.00523599,-9.38253e-05,0.0194285,-0.000412136,0.0305264,-0.00170445,-0.0344655,0.00163269,0.630667,-47.2412,-0.0972889,-18.5564,-0.433733,0.46747,0.44547,,0.0645053,0.58699,-0.000221468,0.99627,-0.0573963,1.63687,0.0611249,-0.99716,-0.0040233,-0.0752064,0.549397,0.000721921,0.998016,-0.0629626,0.109375,0.0753105,-0.0628381,-0.995178,0.210956,0,0,0,1,0,0,0,0,0,0,0
720988571466,1,0.0645049,0.587055,-0.000221229,0.996327,-0.0573954,1.63693,0.0611189,0.0645048,0.583262,-0.00022187,0.99258,-0.0574117,1.63697,0.0611672,0.0010472,0.0759218,0,0.0659734,0.001309,0.0667588,-0.00916298,-0.000923028,0.0447404,-0.000478905,0.0683191,0.00040465,0.0408725,-0.00147598,0.728444,-46.7523,0.0982667,-18.7031,-0.7004,0.894136,0.258803,,0.0645049,0.587055,-0.000221229,0.996327,-0.0573954,1.63693,0.0611189,-0.99712,-0.00406287,-0.0757282,0.549369,0.000748455,0.997988,-0.0633978,0.109373,0.0758334,-0.0632719,-0.995111,0.210918,0,0,0,1,0,0,0,0,0,0,0
720989569792,1,0.0645053,0.587073,-0.000220749,0.996322,-0.0573969,1.63687,0.061121,0.0645055,0.583278,-0.000221524,0.992606,-0.0574122,1.63692,0.06117,0,0.010472,0.0010472,-0.0146608,-0.00261799,-0.0746128,0,0.000461838,0.0196497,0.000233029,0.0319209,-0.00030271,-0.0351754,0.00223968,0.728444,-47.5345,-0.0972889,-18.7031,-0.5404,0.414136,0.338803,,0.0645053,0.587073,-0.000220749,0.996322,-0.0573969,1.63687,0.061121,-0.99715,-0.00403377,-0.0753393,0.549363,0.000720536,0.998015,-0.0629717,0.109373,0.0754438,-0.0628465,-0.995168,0.210891,0,0,0,1,0,0,0,0,0,0,0
720990570041,1,0.0645046,0.587136,-0.000221468,0.996381,-0.0573963,1.63694,0.0611166,0.0645051,0.583327,-0.000221269,0.992682,-0.057412,1.63697,0.0611671,-0.00314159,0.0654498,-0.00418879,0.0733038,-0.00523599,0.0942478,-0.010472,-0.000212545,0.0448376,0.000251404,0.0700906,0.000132226,0.0388488,-0.0022559,0.581778,-46.9967,-0.0972889,-18.752,-0.753733,0.894136,0.20547,,0.0645046,0.587136,-0.000221468,0.996381,-0.0573963,1.63694,0.0611166,-0.99711,-0.00407339,-0.0758631,0.549334,0.000747236,0.997987,-0.0634072,0.10937,0.0759687,-0.0632807,-0.9951,0.210854,0,0,0,1,0,0,0,0,0,0,0
720991571031,1,0.0645051,0.587156,-0.000221229,0.996376,-0.0573975,1.63687,0.0611216,0.0645051,0.583341,-0.000221648,0.992707,-0.0574124,1.63693,0.061171,0,0.015708,-0.0010472,-0.010472,-0.00261799,-0.0719948,0.011781,-6.70725e-05,0.018037,-0.000292125,0.030954,-0.000403944,-0.0346028,0.00312897,0.777333,-47.4367,0.0982667,-18.8987,-0.5404,0.440803,0.44547,,0.0645051,0.587156,-0.000221229,0.996376,-0.0573975,1.63687,0.0611216,-0.997139,-0.00404304,-0.075476,0.549327,0.000720623,0.998014,-0.0629813,0.10937,0.0755808,-0.0628555,-0.995157,0.210827,0,0,0,1,0,0,0,0,0,0,0
720992571217,1,0.0645051,0.587221,-0.00022051,0.996437,-0.0573946,1.63694,0.061116,0.0645047,0.583389,-0.000221493,0.992781,-0.057411,1.63698,0.0611682,0.00418879,0.0680678,0.00523599,0.0701622,0.00654498,0.0654498,-0.014399,-0.00037118,0.0442443,9.34259e-05,0.0681863,0.00122447,0.0377063,-0.00199699,0.532889,-46.9967,-0.0972889,-18.8498,-0.753733,0.78747,0.232136,,0.0645051,0.587221,-0.00022051,0.996437,-0.0573946,1.63694,0.061116,-0.997099,-0.00408326,-0.0760007,0.549298,0.000746764,0.997987,-0.0634157,0.109368,0.0761066,-0.0632885,-0.995089,0.210789,0,0,0,1,0,0,0,0,0,0,0
720993570297,1,0.0645053,0.58724,-0.000221229,0.996434,-0.0573975,1.63688,0.0611189,0.0645054,0.583404,-0.000221058,0.992806,-0.0574121,1.63693,0.0611702,0,0.0139626,-0.0010472,-0.0115192,-0.00392699,-0.0680678,0.00261799,0.000612874,0.0186477,0.000387931,0.0309844,-0.000771043,-0.0347043,0.00139945,0.826222,-47.7301,-0.0484,-18.8009,-0.4604,0.440803,0.36547,,0.0645053,0.58724,-0.000221229,0.996434,-0.0573975,1.63688,0.0611189,-0.997129,-0.00405364,-0.0756165,0.54929,0.000719572,0.998014,-0.0629901,0.109367,0.0757216,-0.0628637,-0.995145,0.210762,0,0,0,1,0,0,0,0,0,0,0
720994570592,1,0.0645041,0.587304,-0.000221468,0.996496,-0.057396,1.63694,0.0611154,0.0645049,0.583452,-0.000221412,0.992878,-0.0574109,1.63698,0.0611671,-0.00628319,0.0750492,-0.00418879,0.0753982,0,0.0785398,0,-0.000359857,0.0441259,-0.000252002,0.0668034,0.000880087,0.0365851,-0.0024768,0.532889,-47.1923,0.0493778,-18.6053,-0.673733,0.814136,0.20547,,0.0645041,0.587304,-0.000221468,0.996496,-0.057396,1.63694,0.0611154,-0.997088,-0.00409286,-0.0761441,0.549259,0.000747042,0.997986,-0.0634255,0.109365,0.0762504,-0.0632978,-0.995078,0.210723,0,0,0,1,0,0,0,0,0,0,0
720995570819,1,0.0645046,0.587322,-0.000220989,0.996495,-0.0573981,1.63688,0.0611177,0.0645051,0.583467,-0.000221668,0.992902,-0.057411,1.63693,0.0611708,0,0.0139626,0.00314159,-0.00733038,-0.00261799,-0.0746128,0.00785398,6.80118e-05,0.018901,-0.000254899,0.0298906,3.32315e-05,-0.0363482,0.00286116,0.924,-47.6323,-0.195067,-18.8498,-0.487067,0.440803,0.472136,,0.0645046,0.587322,-0.000220989,0.996495,-0.0573981,1.63688,0.0611177,-0.997118,-0.00406325,-0.0757615,0.54925,0.000719872,0.998013,-0.063,0.109364,0.075867,-0.062873,-0.995134,0.210696,0,0,0,1,0,0,0,0,0,0,0
720996571231,1,0.0645056,0.587385,-0.00022027,0.996562,-0.0573948,1.63695,0.0611121,0.0645055,0.583516,-0.000221082,0.992976,-0.0574084,1.63698,0.0611669,0.00418879,0.0610865,0.00523599,0.0785398,0.00916298,0.0733038,-0.010472,0.000382229,0.0453869,0.000469908,0.0674211,0.00222234,0.0368238,-0.00295829,0.581778,-47.1923,0.0493778,-18.752,-0.753733,0.86747,0.20547,,0.0645056,0.587385,-0.00022027,0.996562,-0.0573948,1.63695,0.0611121,-0.997077,-0.00410456,-0.0762911,0.549218,0.00074539,0.997986,-0.0634347,0.109363,0.0763978,-0.0633061,-0.995066,0.210657,0,0,0,1,0,0,0,0,0,0,0
720997570373,1,0.0645051,0.587404,-0.000220989,0.996562,-0.0573969,1.63689,0.0611163,0.064506,0.583531,-0.000221415,0.992998,-0.0574104,1.63693,0.0611692,-0.0010472,0.0174533,-0.0020944,-0.00523599,-0.00523599,-0.0693768,0.00392699,0.000460449,0.0186479,-0.000222925,0.0288321,-0.00139719,-0.0378125,0.00158649,0.679556,-47.8767,-0.195067,-18.752,-0.6204,0.440803,0.338803,,0.0645051,0.587404,-0.000220989,0.996562,-0.0573969,1.63689,0.0611163,-0.997106,-0.00407473,-0.0759112,0.549207,0.000718534,0.998013,-0.063009,0.109362,0.0760171,-0.0628812,-0.995122,0.210629,0,0,0,1,0,0,0,0,0,0,0
720998570455,1,0.0645041,0.587468,-0.000221708,0.996628,-0.0573954,1.63696,0.0611118,0.0645048,0.58358,-0.000221668,0.99307,-0.0574091,1.63698,0.0611672,-0.0020944,0.0741765,-0.00418879,0.0733038,0.001309,0.0785398,0,-0.000951071,0.0448476,-0.000248459,0.0653349,0.000912313,0.0368631,-0.0015154,0.581778,-47.2412,-0.243956,-18.3609,-0.833733,0.86747,0.152136,,0.0645041,0.587468,-0.000221708,0.996628,-0.0573954,1.63696,0.0611118,-0.997065,-0.0041144,-0.076443,0.549175,0.000745973,0.997985,-0.0634445,0.10936,0.0765501,-0.0633154,-0.995053,0.21059,0,0,0,1,0,0,0,0,0,0,0
720999570886,1,0.0645053,0.587486,-0.000220989,0.996632,-0.0573948,1.6369,0.0611163,0.0645055,0.583595,-0.000221082,0.993092,-0.0574103,1.63693,0.0611705,0.0020944,0.01309,0.0010472,-0.00733038,0.00261799,-0.0746128,0.00785398,0.000443688,0.0192479,0.000471128,0.028636,-0.000838037,-0.039558,0.00267568,0.630667,-47.6323,-0.195067,-18.312,-0.6204,0.46747,0.472136,,0.0645053,0.587486,-0.000220989,0.996632,-0.0573948,1.6369,0.0611163,-0.997094,-0.00408452,-0.0760658,0.549163,0.000719212,0.998012,-0.0630182,0.10936,0.076172,-0.0628898,-0.995109,0.210561,0,0,0,1,0,0,0,0,0,0,0
721000571351,1,0.0645049,0.58755,-0.000220749,0.9967,-0.0573943,1.63696,0.06111,0.0645058,0.583645,-0.000220795,0.993161,-0.0574083,1.63697,0.0611664,0,0.0715585,0,0.0837758,0.001309,0.0798488,-0.00785398,0.000318153,0.0457658,0.000312442,0.0633581,0.00153652,0.0352682,-0.00325033,0.679556,-47.1434,-0.390622,-18.312,-0.7804,0.894136,0.178803,,0.0645049,0.58755,-0.000220749,0.9967,-0.0573943,1.63696,0.06111,-0.997053,-0.00412552,-0.0766004,0.549129,0.000745563,0.997985,-0.0634536,0.109358,0.0767078,-0.0633237,-0.995041,0.210522,0,0,0,1,0,0,0,0,0,0,0
721001570196,1,0.0645049,0.587572,-0.000220989,0.996704,-0.057396,1.6369,0.061113,0.0645058,0.58366,-0.000221169,0.993179,-0.0574099,1.63692,0.0611691,-0.0010472,0.0191986,-0.0010472,0,-0.00392699,-0.0719948,0.00392699,7.90021e-05,0.0188941,-0.000279852,0.0241724,-0.00112313,-0.0388481,0.00195575,0.728444,-47.8278,-0.243956,-18.1653,-0.6204,0.520803,0.338803,,0.0645049,0.587572,-0.000220989,0.996704,-0.057396,1.6369,0.061113,-0.997082,-0.00409622,-0.076225,0.549117,0.000718341,0.998011,-0.0630282,0.109357,0.0763316,-0.062899,-0.995097,0.210492,0,0,0,1,0,0,0,0,0,0,0
721002570576,1,0.0645046,0.587637,-0.000220989,0.996771,-0.0573925,1.63697,0.0611091,0.0645048,0.583709,-0.000221427,0.993246,-0.0574088,1.63697,0.0611667,0,0.0680678,0,0.0764454,0.00523599,0.0785398,-0.00785398,-0.000876226,0.0452054,-0.000261123,0.0610994,0.000777519,0.0348242,-0.00185445,0.581778,-47.1923,-0.243956,-17.9698,-0.807067,0.94747,0.152136,,0.0645046,0.587637,-0.000220989,0.996771,-0.0573925,1.63697,0.0611091,-0.997041,-0.00413679,-0.0767613,0.549082,0.000745264,0.997984,-0.0634631,0.109355,0.0768691,-0.0633325,-0.995028,0.210451,0,0,0,1,0,0,0,0,0,0,0
721003571576,1,0.0645096,0.587659,-0.000221229,0.996772,-0.0574095,1.63691,0.0611216,0.0645061,0.583724,-0.000221463,0.993265,-0.0574084,1.63692,0.0611694,0.0251327,0.0226893,0,-0.0020944,-0.0706858,-0.0628319,0.0549779,0.00100659,0.0194901,-6.64301e-05,0.0243498,0.000457665,-0.0387605,0.00212965,0.924,-47.5345,-0.341733,-17.9698,-0.833733,0.600803,0.658803,,0.0645096,0.587659,-0.000221229,0.996772,-0.0574095,1.63691,0.0611216,-0.99707,-0.00410537,-0.0763869,0.54907,0.000720607,0.998011,-0.0630435,0.109353,0.0764938,-0.0629138,-0.995083,0.21042,0,0,0,1,0,0,0,0,0,0,0
721004571098,1,0.0645777,0.587735,-0.000221229,0.99684,-0.0575872,1.63699,0.061275,0.0645058,0.583773,-0.000220641,0.99333,-0.0574078,1.63697,0.0611662,0.0785398,0.0907571,-0.00314159,0.0806342,-0.195041,0.0890118,0.162316,-6.38367e-05,0.0443391,0.000700218,0.0595852,0.00055698,0.0357486,-0.00250195,1.51067,-46.8012,-0.0972889,-17.7253,-1.7404,1.05414,0.392136,,0.0645777,0.587735,-0.000221229,0.99684,-0.0575872,1.63699,0.061275,-0.997028,-0.00411147,-0.0769249,0.549039,0.000788063,0.997978,-0.0635539,0.109332,0.0770306,-0.0634257,-0.995009,0.210372,0,0,0,1,0,0,0,0,0,0,0
721005570445,1,0.0646345,0.587765,-0.000220749,0.996844,-0.0576714,1.63693,0.0613574,0.0645058,0.583788,-0.000221355,0.993348,-0.057409,1.63692,0.0611699,0.0534071,0.0253073,0,-0.00314159,-0.0589049,-0.0719948,0.0759218,-3.6506e-05,0.019687,-0.000520002,0.0237523,-0.000970581,-0.0382853,0.00284049,1.90178,-47.2901,-0.0972889,-17.8231,-1.79373,0.70747,0.60547,,0.0646345,0.587765,-0.000220749,0.996844,-0.0576714,1.63693,0.0613574,-0.997057,-0.00405266,-0.0765546,0.549028,0.000796663,0.998,-0.0632082,0.109318,0.0766576,-0.0630831,-0.99506,0.210332,0,0,0,1,0,0,0,0,0,0,0
721006570953,1,0.0647184,0.587842,-0.000220749,0.996922,-0.0578299,1.63701,0.061483,0.0645052,0.58384,-0.000221039,0.993415,-0.0574077,1.63696,0.0611668,0.0932006,0.0785398,0.00314159,0.090059,-0.158389,0.0837758,0.115192,-0.000543975,0.0467879,0.000200773,0.0612335,0.00106086,0.0358616,-0.00229455,2.19511,-46.4101,0.147156,-17.5298,-2.32707,1.1608,0.498803,,0.0647184,0.587842,-0.000220749,0.996922,-0.0578299,1.63701,0.061483,-0.997015,-0.00405903,-0.0770997,0.548994,0.000867487,0.997965,-0.0637573,0.109297,0.0772016,-0.0636339,-0.994983,0.210277,0,0,0,1,0,0,0,0,0,0,0
721007571355,1,0.0647687,0.587877,-0.000221708,0.996931,-0.0578685,1.63696,0.0615162,0.0645059,0.583855,-0.000221203,0.993434,-0.0574093,1.63691,0.0611689,0.0397935,0.0331613,-0.0010472,0.00523599,-0.015708,-0.0706858,0.00916298,0.000564848,0.0200584,-0.000113448,0.0245729,-0.00125125,-0.0375943,0.00154616,3.07511,-46.7523,0.147156,-17.1387,-1.92707,0.760803,0.68547,,0.0647687,0.587877,-0.000221708,0.996931,-0.0578685,1.63696,0.0615162,-0.997043,-0.00401631,-0.076738,0.548979,0.000860911,0.997987,-0.0634182,0.109288,0.0768382,-0.0632968,-0.995032,0.210232,0,0,0,1,0,0,0,0,0,0,0
721008571004,1,0.0648349,0.587958,-0.000222188,0.997013,-0.0579713,1.63703,0.0615989,0.064506,0.583907,-0.000221018,0.993502,-0.0574082,1.63696,0.0611664,0.0617847,0.0863938,-0.00628319,0.0942478,-0.102102,0.0903208,0.0890118,0.000165365,0.0472897,0.000143446,0.0623197,0.000751304,0.0360493,-0.00198495,3.31956,-45.7745,0.0982667,-16.8942,-2.0604,1.18747,0.52547,,0.0648349,0.587958,-0.000222188,0.997013,-0.0579713,1.63703,0.0615989,-0.997,-0.00404224,-0.0772926,0.548939,0.000911615,0.997953,-0.0639498,0.109277,0.0773928,-0.0638284,-0.994955,0.210175,0,0,0,1,0,0,0,0,0,0,0
721009570277,1,0.0648694,0.587994,-0.000221229,0.997027,-0.0579665,1.63697,0.0615968,0.064506,0.583926,-0.000221407,0.993523,-0.0574088,1.63691,0.0611697,0.0261799,0.0349066,0.00314159,0.00523599,0.019635,-0.0759218,-0.0287979,3.47616e-05,0.0225677,-0.000315239,0.0262828,-0.000439041,-0.0371098,0.0025475,3.51511,-46.5078,0.293822,-16.8942,-1.07373,0.654136,0.658803,,0.0648694,0.587994,-0.000221229,0.997027,-0.0579665,1.63697,0.0615968,-0.997028,-0.00401948,-0.0769381,0.54892,0.000883196,0.997976,-0.0635825,0.109279,0.077038,-0.0634615,-0.995006,0.210129,0,0,0,1,0,0,0,0,0,0,0
721010570080,1,0.0649185,0.588078,-0.000220749,0.997114,-0.0580357,1.63703,0.0616403,0.0645065,0.583979,-0.00022084,0.993593,-0.0574076,1.63696,0.061166,0.0492183,0.0968658,0.00418879,0.102625,-0.0772308,0.0759218,0.0575959,0.000363197,0.0493072,0.000445883,0.0638391,0.000980176,0.0372937,-0.00283071,3.22178,-45.6767,0.489378,-16.552,-1.0204,1.1608,0.578803,,0.0649185,0.588078,-0.000220749,0.997114,-0.0580357,1.63703,0.0616403,-0.996984,-0.00406673,-0.0774981,0.548877,0.000910701,0.997944,-0.0640832,0.109276,0.0775994,-0.0639605,-0.994931,0.210071,0,0,0,1,0,0,0,0,0,0,0
